OG2_0	ENSG00000178201,NONE,ENSBTAG00000047568
OG81_1	ENSG00000170465,NONE,ENSBTAG00000038033
OG81_2	ENSG00000205420,NONE,ENSBTAG00000039425
OG82_0	ENSG00000186081,ENSRNOG00000050420,ENSBTAG00000038384
OG83_0	ENSG00000170454,NONE,ENSBTAG00000016121
OG86_0	ENSG00000170421,ENSRNOG00000009779,ENSBTAG00000000836
OG86_1	NONE,NONE,ENSBTAG00000047000
OG87_0	ENSG00000135480,ENSRNOG00000008057,ENSBTAG00000016165
OG88_0	ENSG00000161850,ENSRNOG00000033403,ENSBTAG00000007145
OG89_0	ENSG00000161849,ENSRNOG00000008819,ENSBTAG00000047872
OG93_0	ENSG00000135443,ENSRNOG00000008436,ENSBTAG00000000400
OG94_0	NONE,ENSRNOG00000048807,NONE
OG94_1	NONE,ENSRNOG00000047987,NONE
OG95_0	NONE,ENSRNOG00000017726,ENSBTAG00000017173
OG97_0	ENSG00000228567,ENSRNOG00000039019,NONE
OG104_0	ENSG00000118997,NONE,ENSBTAG00000016784
OG106_0	ENSG00000174844,NONE,ENSBTAG00000020802
OG106_1	ENSG00000262840,NONE,NONE
OG107_0	ENSG00000158486,NONE,ENSBTAG00000018560
OG108_0	ENSG00000114841,NONE,ENSBTAG00000047794
OG110_0	ENSG00000115423,ENSRNOG00000015581,NONE
OG111_0	ENSG00000185842,ENSRNOG00000048741,ENSBTAG00000008449
OG112_0	ENSG00000183914,NONE,ENSBTAG00000008605
OG115_0	ENSG00000039139,ENSRNOG00000012624,ENSBTAG00000021972
OG115_1	NONE,ENSRNOG00000048363,NONE
OG116_0	ENSG00000124721,NONE,ENSBTAG00000014063
OG118_0	ENSG00000197653,NONE,ENSBTAG00000016523
OG119_0	ENSG00000187240,ENSRNOG00000032070,ENSBTAG00000047461
OG120_0	NONE,ENSRNOG00000006178,ENSBTAG00000016598
OG124_0	ENSG00000105877,ENSRNOG00000005451,ENSBTAG00000013078
OG125_0	ENSG00000007174,ENSRNOG00000004171,ENSBTAG00000022509
OG127_0	ENSG00000187775,NONE,ENSBTAG00000000920
OG128_0	ENSG00000154734,ENSRNOG00000001607,ENSBTAG00000000706
OG129_0	ENSG00000158859,NONE,ENSBTAG00000013210
OG131_0	ENSG00000134917,ENSRNOG00000005574,ENSBTAG00000010411
OG132_0	ENSG00000154736,NONE,ENSBTAG00000000648
OG134_0	ENSG00000166106,ENSRNOG00000009892,ENSBTAG00000016857
OG135_0	ENSG00000142303,ENSRNOG00000008857,ENSBTAG00000014207
OG135_1	ENSG00000261964,NONE,NONE
OG136_0	ENSG00000049192,NONE,ENSBTAG00000016963
OG138_0	ENSG00000140873,ENSRNOG00000011575,ENSBTAG00000001010
OG139_0	ENSG00000145536,ENSRNOG00000016812,ENSBTAG00000018460
OG140_0	ENSG00000151388,ENSRNOG00000018865,ENSBTAG00000012558
OG142_0	NONE,ENSRNOG00000028036,ENSBTAG00000001396
OG143_0	ENSG00000140470,ENSRNOG00000037080,ENSBTAG00000019823
OG144_0	ENSG00000145808,ENSRNOG00000019577,ENSBTAG00000016145
OG146_0	NONE,ENSRNOG00000023257,ENSBTAG00000003165
OG147_0	ENSG00000173157,ENSRNOG00000033397,ENSBTAG00000000395
OG148_0	ENSG00000153029,NONE,ENSBTAG00000009924
OG153_0	ENSG00000183317,ENSRNOG00000037340,ENSBTAG00000020510
OG154_0	ENSG00000135333,ENSRNOG00000007030,ENSBTAG00000021420
OG155_0	ENSG00000080224,ENSRNOG00000045703,ENSBTAG00000044111
OG155_1	NONE,ENSRNOG00000029184,NONE
OG156_0	ENSG00000070886,ENSRNOG00000013036,ENSBTAG00000020102
OG157_0	ENSG00000145242,ENSRNOG00000002024,ENSBTAG00000009438
OG158_0	ENSG00000044524,ENSRNOG00000030285,ENSBTAG00000006811
OG159_0	ENSG00000116106,ENSRNOG00000013213,ENSBTAG00000010030
OG160_0	ENSG00000106123,ENSRNOG00000014367,ENSBTAG00000015510
OG160_1	ENSG00000260195,NONE,NONE
OG161_0	ENSG00000133216,NONE,ENSBTAG00000045902
OG162_0	ENSG00000182580,ENSRNOG00000031801,ENSBTAG00000005313
OG163_0	ENSG00000196411,ENSRNOG00000045952,ENSBTAG00000003446
OG164_0	ENSG00000154928,ENSRNOG00000007865,ENSBTAG00000015377
OG165_0	ENSG00000146904,ENSRNOG00000017525,ENSBTAG00000006359
OG166_0	ENSG00000142627,ENSRNOG00000009222,ENSBTAG00000000815
OG167_0	ENSG00000125414,NONE,ENSBTAG00000007090
OG169_0	ENSG00000133020,ENSRNOG00000050042,ENSBTAG00000009702
OG170_0	ENSG00000109061,ENSRNOG00000049695,ENSBTAG00000018204
OG171_0	ENSG00000264424,ENSRNOG00000049898,ENSBTAG00000037794
OG172_0	ENSG00000006788,ENSRNOG00000031400,ENSBTAG00000025337
OG173_0	ENSG00000109063,ENSRNOG00000046276,ENSBTAG00000011803
OG174_0	ENSG00000092054,NONE,ENSBTAG00000009703
OG176_0	ENSG00000197616,ENSRNOG00000025757,ENSBTAG00000040053
OG177_0	ENSG00000144821,NONE,ENSBTAG00000018399
OG178_0	ENSG00000078814,NONE,ENSBTAG00000003512
OG180_0	ENSG00000133392,ENSRNOG00000000029,ENSBTAG00000015988
OG181_0	ENSG00000100345,ENSRNOG00000004860,ENSBTAG00000010402
OG181_1	NONE,ENSRNOG00000049236,NONE
OG183_0	NONE,ENSRNOG00000002886,ENSBTAG00000021151
OG184_0	ENSG00000105357,ENSRNOG00000020014,ENSBTAG00000002580
OG185_0	ENSG00000010379,ENSRNOG00000012876,ENSBTAG00000014525
OG187_0	NONE,ENSRNOG00000013547,ENSBTAG00000038415
OG189_0	NONE,ENSRNOG00000005697,ENSBTAG00000038962
OG190_0	ENSG00000131389,ENSRNOG00000009019,ENSBTAG00000011088
OG191_0	ENSG00000130821,ENSRNOG00000032701,ENSBTAG00000009959
OG191_1	ENSG00000268982,NONE,NONE
OG192_0	ENSG00000157103,ENSRNOG00000006527,ENSBTAG00000005857
OG193_0	ENSG00000108576,ENSRNOG00000003476,ENSBTAG00000019349
OG194_0	ENSG00000103546,ENSRNOG00000016311,ENSBTAG00000003353
OG195_0	ENSG00000142319,ENSRNOG00000017302,ENSBTAG00000015843
OG196_0	ENSG00000011083,NONE,ENSBTAG00000000910
OG199_0	NONE,ENSRNOG00000019484,ENSBTAG00000006043
OG199_1	NONE,NONE,ENSBTAG00000008690
OG200_0	ENSG00000165970,NONE,ENSBTAG00000014300
OG202_0	ENSG00000268104,NONE,NONE
OG202_1	ENSG00000087916,NONE,NONE
OG203_0	NONE,ENSRNOG00000005687,ENSBTAG00000000185
OG204_0	ENSG00000140937,ENSRNOG00000013481,ENSBTAG00000032092
OG205_0	ENSG00000150394,ENSRNOG00000011274,ENSBTAG00000046749
OG205_1	NONE,NONE,ENSBTAG00000022783
OG206_0	ENSG00000139880,ENSRNOG00000013503,ENSBTAG00000011349
OG207_0	ENSG00000179776,ENSRNOG00000013324,ENSBTAG00000007421
OG208_0	ENSG00000145526,ENSRNOG00000010535,ENSBTAG00000037844
OG209_0	ENSG00000113361,ENSRNOG00000013535,ENSBTAG00000012992
OG210_0	ENSG00000113100,NONE,ENSBTAG00000018234
OG212_0	ENSG00000040731,ENSRNOG00000009771,ENSBTAG00000002845
OG213_0	ENSG00000154162,NONE,ENSBTAG00000025893
OG215_0	ENSG00000081138,ENSRNOG00000032490,ENSBTAG00000014488
OG216_0	ENSG00000071991,ENSRNOG00000029841,ENSBTAG00000023270
OG217_0	ENSG00000149654,NONE,ENSBTAG00000005672
OG219_0	ENSG00000101542,ENSRNOG00000014556,ENSBTAG00000001739
OG221_0	NONE,ENSRNOG00000021924,ENSBTAG00000024700
OG221_1	NONE,NONE,ENSBTAG00000047324
OG221_2	NONE,NONE,ENSBTAG00000023549
OG222_0	NONE,ENSRNOG00000013291,ENSBTAG00000023939
OG224_0	NONE,ENSRNOG00000012458,ENSBTAG00000018365
OG225_0	ENSG00000197446,NONE,ENSBTAG00000046805
OG227_0	ENSG00000255974,NONE,ENSBTAG00000047815
OG227_1	ENSG00000198077,NONE,NONE
OG227_2	ENSG00000197838,NONE,NONE
OG229_0	NONE,ENSRNOG00000020817,NONE
OG229_1	NONE,ENSRNOG00000020928,NONE
OG231_0	NONE,ENSRNOG00000020827,ENSBTAG00000003272
OG234_0	ENSG00000140798,ENSRNOG00000015666,ENSBTAG00000044191
OG235_0	ENSG00000121270,NONE,ENSBTAG00000010858
OG236_0	ENSG00000114770,ENSRNOG00000029178,ENSBTAG00000017666
OG238_0	NONE,ENSRNOG00000018863,ENSBTAG00000005842
OG239_0	ENSG00000103222,ENSRNOG00000032748,ENSBTAG00000021090
OG239_1	NONE,ENSRNOG00000022305,NONE
OG240_0	ENSG00000091262,ENSRNOG00000028781,ENSBTAG00000015191
OG242_0	NONE,ENSRNOG00000002948,ENSBTAG00000020070
OG243_0	ENSG00000023839,NONE,ENSBTAG00000008936
OG246_0	NONE,ENSRNOG00000036960,ENSBTAG00000019294
OG247_0	ENSG00000006071,ENSRNOG00000021130,ENSBTAG00000000983
OG248_0	ENSG00000104833,ENSRNOG00000047505,ENSBTAG00000021013
OG249_0	ENSG00000188229,NONE,ENSBTAG00000025274
OG250_0	ENSG00000173876,NONE,NONE
OG250_1	ENSG00000261456,NONE,NONE
OG250_2	ENSG00000173213,NONE,NONE
OG253_0	ENSG00000232421,NONE,ENSBTAG00000006969
OG254_0	ENSG00000235067,NONE,ENSBTAG00000004624
OG255_0	NONE,ENSRNOG00000038193,ENSBTAG00000023731
OG261_0	ENSG00000176014,ENSRNOG00000018371,ENSBTAG00000046337
OG262_0	ENSG00000101162,ENSRNOG00000046151,ENSBTAG00000018785
OG263_0	ENSG00000137267,ENSRNOG00000017558,ENSBTAG00000046886
OG264_0	ENSG00000137285,ENSRNOG00000017445,ENSBTAG00000004093
OG266_0	NONE,ENSRNOG00000034254,ENSBTAG00000026199
OG269_0	ENSG00000169067,ENSRNOG00000043292,NONE
OG270_0	ENSG00000184009,ENSRNOG00000024816,ENSBTAG00000006189
OG273_0	ENSG00000107796,NONE,ENSBTAG00000014614
OG274_0	ENSG00000163017,NONE,ENSBTAG00000015441
OG276_0	ENSG00000143632,NONE,ENSBTAG00000046332
OG279_0	NONE,ENSRNOG00000008536,ENSBTAG00000005714
OG282_0	ENSG00000185792,ENSRNOG00000021913,ENSBTAG00000004725
OG283_0	ENSG00000158077,NONE,ENSBTAG00000002289
OG285_0	ENSG00000171487,NONE,ENSBTAG00000013247
OG287_0	ENSG00000173572,NONE,ENSBTAG00000006961
OG288_0	ENSG00000179709,NONE,ENSBTAG00000006965
OG289_0	ENSG00000142405,NONE,ENSBTAG00000038149
OG291_0	ENSG00000162711,ENSRNOG00000003170,ENSBTAG00000001273
OG292_0	ENSG00000185313,ENSRNOG00000032473,ENSBTAG00000046911
OG293_0	ENSG00000168356,ENSRNOG00000032884,ENSBTAG00000017174
OG294_0	ENSG00000183873,ENSRNOG00000015049,ENSBTAG00000009155
OG295_0	ENSG00000007314,NONE,ENSBTAG00000004770
OG298_0	ENSG00000196876,NONE,ENSBTAG00000021339
OG299_0	ENSG00000144285,ENSRNOG00000005989,ENSBTAG00000018520
OG300_0	ENSG00000136531,NONE,ENSBTAG00000038180
OG302_0	ENSG00000153253,ENSRNOG00000005007,ENSBTAG00000019385
OG303_0	ENSG00000136546,ENSRNOG00000029342,ENSBTAG00000019137
OG304_0	ENSG00000169432,ENSRNOG00000006639,ENSBTAG00000002425
OG307_0	NONE,ENSRNOG00000049086,ENSBTAG00000025391
OG310_0	NONE,ENSRNOG00000045978,NONE
OG310_1	NONE,ENSRNOG00000048735,NONE
OG310_2	NONE,ENSRNOG00000046900,NONE
OG311_0	ENSG00000188987,ENSRNOG00000048642,NONE
OG313_0	ENSG00000143515,ENSRNOG00000020822,ENSBTAG00000005161
OG314_0	ENSG00000104043,NONE,ENSBTAG00000011936
OG315_0	NONE,ENSRNOG00000021704,ENSBTAG00000011402
OG316_0	ENSG00000081923,ENSRNOG00000024952,ENSBTAG00000005738
OG317_0	ENSG00000130270,NONE,ENSBTAG00000020229
OG319_0	ENSG00000132932,ENSRNOG00000008053,ENSBTAG00000025428
OG319_1	NONE,NONE,ENSBTAG00000019529
OG320_0	ENSG00000124406,ENSRNOG00000034200,ENSBTAG00000011156
OG321_0	ENSG00000101974,ENSRNOG00000003472,ENSBTAG00000016484
OG322_0	ENSG00000068650,ENSRNOG00000017154,ENSBTAG00000000446
OG324_0	ENSG00000058063,NONE,ENSBTAG00000000290
OG327_0	ENSG00000163873,ENSRNOG00000008992,ENSBTAG00000009269
OG329_0	NONE,ENSRNOG00000001575,ENSBTAG00000034854
OG331_0	NONE,ENSRNOG00000000368,ENSBTAG00000033153
OG333_0	ENSG00000149403,NONE,ENSBTAG00000017146
OG334_0	ENSG00000272706,NONE,NONE
OG334_1	ENSG00000105737,NONE,NONE
OG335_0	NONE,ENSRNOG00000020310,ENSBTAG00000011723
OG336_0	ENSG00000155511,ENSRNOG00000045816,ENSBTAG00000005800
OG338_0	NONE,ENSRNOG00000006957,ENSBTAG00000006176
OG339_0	ENSG00000125675,NONE,ENSBTAG00000011833
OG342_0	NONE,ENSRNOG00000028589,ENSBTAG00000004775
OG345_0	NONE,ENSRNOG00000045654,NONE
OG345_1	NONE,ENSRNOG00000050647,NONE
OG347_0	ENSG00000173110,NONE,ENSBTAG00000039035
OG350_0	ENSG00000126803,ENSRNOG00000006472,NONE
OG352_0	NONE,ENSRNOG00000019525,ENSBTAG00000011419
OG353_0	ENSG00000044574,ENSRNOG00000018294,ENSBTAG00000007662
OG354_0	ENSG00000144290,NONE,ENSBTAG00000015317
OG356_0	ENSG00000050438,NONE,ENSBTAG00000017950
OG358_0	ENSG00000033867,NONE,ENSBTAG00000018227
OG360_0	ENSG00000188687,ENSRNOG00000010378,ENSBTAG00000004884
OG361_0	ENSG00000113073,NONE,ENSBTAG00000021775
OG363_0	ENSG00000080493,ENSRNOG00000003134,ENSBTAG00000002348
OG364_0	ENSG00000114923,ENSRNOG00000020138,ENSBTAG00000014975
OG365_0	ENSG00000164889,NONE,ENSBTAG00000011226
OG367_0	ENSG00000004939,ENSRNOG00000020951,ENSBTAG00000001610
OG368_0	ENSG00000164050,ENSRNOG00000029510,ENSBTAG00000013407
OG369_0	ENSG00000198753,ENSRNOG00000037291,ENSBTAG00000010146
OG369_1	ENSG00000268591,NONE,NONE
OG370_0	ENSG00000196576,ENSRNOG00000007133,ENSBTAG00000014966
OG371_0	ENSG00000004399,ENSRNOG00000025209,ENSBTAG00000001814
OG372_0	ENSG00000114554,ENSRNOG00000017003,ENSBTAG00000009159
OG373_0	ENSG00000268862,ENSRNOG00000037248,ENSBTAG00000008552
OG373_1	ENSG00000130827,NONE,NONE
OG375_0	NONE,ENSRNOG00000013072,ENSBTAG00000014543
OG376_0	ENSG00000076356,ENSRNOG00000007324,ENSBTAG00000001173
OG379_0	ENSG00000140829,ENSRNOG00000014619,ENSBTAG00000013265
OG380_0	ENSG00000067596,ENSRNOG00000020772,ENSBTAG00000008339
OG381_0	ENSG00000089876,ENSRNOG00000018119,ENSBTAG00000005795
OG382_0	ENSG00000144045,ENSRNOG00000008062,ENSBTAG00000016609
OG383_0	NONE,ENSRNOG00000003844,ENSBTAG00000008896
OG385_0	ENSG00000005100,ENSRNOG00000007054,ENSBTAG00000032083
OG387_0	ENSG00000101452,NONE,ENSBTAG00000004039
OG388_0	ENSG00000183785,NONE,ENSBTAG00000018530
OG390_0	ENSG00000178462,NONE,ENSBTAG00000017740
OG390_1	ENSG00000263440,NONE,NONE
OG392_0	ENSG00000198033,ENSRNOG00000032967,NONE
OG392_1	NONE,ENSRNOG00000031707,NONE
OG393_0	ENSG00000075886,NONE,ENSBTAG00000030979
OG393_1	ENSG00000152086,NONE,NONE
OG395_0	NONE,ENSRNOG00000029059,ENSBTAG00000030973
OG395_1	NONE,ENSRNOG00000032459,NONE
OG396_0	ENSG00000167553,ENSRNOG00000015544,ENSBTAG00000037775
OG396_1	NONE,NONE,ENSBTAG00000039992
OG398_0	NONE,ENSRNOG00000003597,ENSBTAG00000030974
OG400_0	NONE,ENSRNOG00000004559,ENSBTAG00000012244
OG401_0	ENSG00000167552,NONE,ENSBTAG00000001489
OG402_0	ENSG00000214078,NONE,ENSBTAG00000006955
OG403_0	NONE,ENSRNOG00000046990,NONE
OG403_1	NONE,ENSRNOG00000050864,NONE
OG404_0	ENSG00000085719,ENSRNOG00000006298,ENSBTAG00000015536
OG405_0	ENSG00000140848,ENSRNOG00000043286,ENSBTAG00000002233
OG406_0	ENSG00000124772,ENSRNOG00000000522,ENSBTAG00000007514
OG407_0	ENSG00000144550,ENSRNOG00000023077,ENSBTAG00000011551
OG408_0	ENSG00000139117,ENSRNOG00000026128,ENSBTAG00000020914
OG410_0	NONE,ENSRNOG00000026577,ENSBTAG00000010448
OG411_0	ENSG00000178773,NONE,ENSBTAG00000012215
OG413_0	ENSG00000100884,ENSRNOG00000018399,ENSBTAG00000001870
OG414_0	ENSG00000165029,ENSRNOG00000018126,ENSBTAG00000020661
OG415_0	ENSG00000064687,NONE,ENSBTAG00000020766
OG417_0	ENSG00000198691,NONE,ENSBTAG00000018010
OG419_0	ENSG00000107331,ENSRNOG00000014268,ENSBTAG00000047254
OG420_0	ENSG00000167972,NONE,ENSBTAG00000014903
OG421_0	NONE,ENSRNOG00000043296,ENSBTAG00000006717
OG423_0	NONE,ENSRNOG00000015783,ENSBTAG00000035915
OG424_0	NONE,ENSRNOG00000039656,ENSBTAG00000034643
OG426_0	ENSG00000179869,NONE,ENSBTAG00000003531
OG428_0	ENSG00000144452,NONE,ENSBTAG00000003472
OG429_0	ENSG00000083857,ENSRNOG00000030954,ENSBTAG00000020657
OG430_0	ENSG00000165323,ENSRNOG00000011585,ENSBTAG00000004081
OG431_0	ENSG00000086570,ENSRNOG00000012575,ENSBTAG00000003498
OG432_0	ENSG00000107736,NONE,ENSBTAG00000021497
OG434_0	NONE,ENSRNOG00000023789,ENSBTAG00000047625
OG434_1	NONE,ENSRNOG00000047473,NONE
OG435_0	ENSG00000197410,ENSRNOG00000049111,ENSBTAG00000024545
OG436_0	ENSG00000166341,ENSRNOG00000031643,ENSBTAG00000015405
OG438_0	ENSG00000196159,NONE,ENSBTAG00000003345
OG439_0	ENSG00000142347,ENSRNOG00000008409,ENSBTAG00000007661
OG439_1	ENSG00000262149,NONE,NONE
OG440_0	ENSG00000157483,ENSRNOG00000011886,ENSBTAG00000021538
OG441_0	ENSG00000136286,ENSRNOG00000007113,ENSBTAG00000006377
OG442_0	ENSG00000176658,ENSRNOG00000003276,ENSBTAG00000015527
OG443_0	ENSG00000128641,ENSRNOG00000015227,ENSBTAG00000011256
OG443_1	NONE,ENSRNOG00000048152,NONE
OG444_0	ENSG00000166866,ENSRNOG00000004177,ENSBTAG00000014655
OG445_0	ENSG00000174527,NONE,ENSBTAG00000002695
OG446_0	ENSG00000197879,ENSRNOG00000004072,ENSBTAG00000001332
OG451_0	ENSG00000111262,ENSRNOG00000019750,ENSBTAG00000016646
OG452_0	ENSG00000177301,NONE,ENSBTAG00000015459
OG454_0	ENSG00000177272,NONE,ENSBTAG00000047879
OG456_0	ENSG00000104848,ENSRNOG00000020779,ENSBTAG00000016125
OG457_0	ENSG00000151079,ENSRNOG00000047736,ENSBTAG00000047191
OG458_0	ENSG00000182255,ENSRNOG00000004918,ENSBTAG00000020793
OG459_0	ENSG00000143105,ENSRNOG00000050416,ENSBTAG00000008322
OG459_1	NONE,ENSRNOG00000018283,NONE
OG460_0	ENSG00000130037,ENSRNOG00000019719,ENSBTAG00000007553
OG461_0	ENSG00000254087,ENSRNOG00000008180,ENSBTAG00000020034
OG462_0	ENSG00000101336,ENSRNOG00000009331,ENSBTAG00000007932
OG463_0	ENSG00000182866,ENSRNOG00000009705,ENSBTAG00000012695
OG464_0	ENSG00000136573,ENSRNOG00000010798,ENSBTAG00000005049
OG465_0	ENSG00000010810,NONE,ENSBTAG00000011851
OG467_0	ENSG00000000938,ENSRNOG00000009912,ENSBTAG00000011784
OG468_0	ENSG00000197122,ENSRNOG00000009495,ENSBTAG00000008938
OG470_0	NONE,ENSRNOG00000037227,ENSBTAG00000001523
OG471_0	ENSG00000184611,ENSRNOG00000007528,ENSBTAG00000001899
OG472_0	ENSG00000173826,ENSRNOG00000008078,ENSBTAG00000016613
OG473_0	NONE,ENSRNOG00000009872,ENSBTAG00000004078
OG475_0	ENSG00000140015,ENSRNOG00000009542,ENSBTAG00000011379
OG477_0	NONE,ENSRNOG00000003841,ENSBTAG00000008710
OG478_0	ENSG00000135519,NONE,ENSBTAG00000019277
OG481_0	NONE,ENSRNOG00000012711,ENSBTAG00000012798
OG482_0	ENSG00000089558,ENSRNOG00000018790,ENSBTAG00000001195
OG483_0	ENSG00000183347,ENSRNOG00000042583,ENSBTAG00000046294
OG483_1	NONE,ENSRNOG00000002130,ENSBTAG00000014857
OG483_2	NONE,ENSRNOG00000002134,ENSBTAG00000038576
OG485_0	ENSG00000162645,ENSRNOG00000031743,ENSBTAG00000037634
OG485_1	NONE,NONE,ENSBTAG00000038938
OG486_0	ENSG00000154451,ENSRNOG00000032240,ENSBTAG00000015060
OG487_0	ENSG00000117226,ENSRNOG00000023943,ENSBTAG00000017670
OG487_1	ENSG00000117228,ENSRNOG00000036885,ENSBTAG00000001143
OG488_0	NONE,ENSRNOG00000020578,NONE
OG488_1	NONE,ENSRNOG00000030331,NONE
OG488_2	NONE,ENSRNOG00000045673,NONE
OG490_0	ENSG00000272743,NONE,ENSBTAG00000006859
OG490_1	ENSG00000105388,NONE,ENSBTAG00000005615
OG491_0	NONE,ENSRNOG00000048104,NONE
OG491_1	NONE,ENSRNOG00000049710,NONE
OG493_0	NONE,ENSRNOG00000020865,ENSBTAG00000009997
OG495_0	NONE,ENSRNOG00000023561,ENSBTAG00000012246
OG496_0	ENSG00000146205,ENSRNOG00000023427,NONE
OG497_0	ENSG00000134343,ENSRNOG00000004731,ENSBTAG00000021855
OG498_0	ENSG00000151572,ENSRNOG00000006841,ENSBTAG00000004145
OG499_0	ENSG00000185101,ENSRNOG00000015830,NONE
OG500_0	ENSG00000171714,ENSRNOG00000015972,ENSBTAG00000019394
OG501_0	ENSG00000177119,ENSRNOG00000006995,ENSBTAG00000002902
OG502_0	ENSG00000124493,ENSRNOG00000000487,ENSBTAG00000013632
OG503_0	ENSG00000179603,ENSRNOG00000021468,NONE
OG504_0	ENSG00000113262,ENSRNOG00000000233,ENSBTAG00000016187
